id,complex_name,count,accession_numbers
2755,17S U2 snRNP,25,"['O43143', 'O75940', 'P10809', 'Q12931', 'P62304', 'P62318', 'P08579', 'P62306', 'P62314', 'Q13435', 'Q7RTV0', 'Q07955', 'Q15459', 'Q9Y3B4', 'Q96I25', 'Q15427', 'Q15428', 'Q9P0W2', 'P09661', 'O75937', 'Q12874', 'P26368', 'Q7L014', 'P62316', 'Q9UHX1']"
8370,"Spliceosome, pre-B complex",24,"['P55769', 'Q9BUQ8', 'P62304', 'P62318', 'Q8WWY3', 'O43172', 'P08579', 'P62306', 'P62314', 'Q13435', 'Q7RTV0', 'Q15459', 'Q9Y3B4', 'Q15427', 'Q15428', 'O95777', 'O43395', 'P09661', 'Q9Y333', 'Q9Y4Z0', 'Q12874', 'P62310', 'P62316', 'Q96DI7']"
8369,"Spliceosome, C complex",22,"['Q9UNP9', 'Q13573', 'O60508', 'Q9BZJ0', 'Q9ULR0', 'Q9NW64', 'P62304', 'P62318', 'O43660', 'O60306', 'O75934', 'Q9UQ35', 'P08579', 'Q9Y5S9', 'P62306', 'P62314', 'P09661', 'Q9UMS4', 'Q9HCG8', 'Q9P013', 'P62316', 'P41223']"
1183,CDC5L complex,22,"['Q14204', 'Q92616', 'Q7L1Q6', 'P62318', 'O43660', 'P23246', 'Q9UPN6', 'O75934', 'P11388', 'P62314', 'Q01130', 'Q13435', 'Q8IYB3', 'Q07955', 'Q15427', 'P09012', 'P09661', 'P11142', 'Q9UMS4', 'P38159', 'Q9P013', 'P62316']"
193,PA700-20S-PA28 complex,21,"['Q9UL46', 'P25787', 'P28070', 'P51665', 'Q16401', 'O00233', 'O00231', 'P20618', 'P25786', 'P25788', 'P25789', 'P28072', 'P49721', 'Q06323', 'P60900', 'O75832', 'P35998', 'Q13200', 'Q99460', 'P28066', 'O14818']"
324,"39S ribosomal subunit, mitochondrial",20,"['Q9NRX2', 'Q4U2R6', 'Q9NQ50', 'P09001', 'Q9BYD2', 'Q13084', 'Q9P015', 'Q9BYD3', 'Q7Z7F7', 'P49406', 'Q9H2W6', 'Q8IXM3', 'Q13405', 'Q9NYK5', 'Q16540', 'Q9HD33', 'P52815', 'Q8N983', 'Q9BZE1', 'Q9Y3B7']"
5380,"TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",20,"['P50914', 'P46778', 'P61513', 'P49207', 'Q9UHA3', 'P05387', 'P18124', 'P26373', 'P30050', 'P56537', 'P62424', 'P84098', 'Q02543', 'P61353', 'P62888', 'Q9Y3U8', 'P62906', 'P62910', 'P46779', 'P61313']"
178,"Respiratory chain complex I (holoenzyme), mitochondrial",16,"['O00217', 'Q9Y6M9', 'O75251', 'O75438', 'O95182', 'P19404', 'P28331', 'Q16795', 'O43678', 'O43181', 'O00483', 'O95168', 'P49821', 'P56181', 'Q16718', 'O96000']"
1004,"RC complex, S-phase-specific",16,"['P35244', 'P18858', 'P28340', 'P35251', 'P35249', 'Q9NR33', 'P24941', 'P15927', 'P35250', 'Q9NRF9', 'P27694', 'Q14181', 'P40937', 'P09874', 'P49005', 'P40938']"
1111,"DNA synthesome complex, breast cancer MCF7 cells",15,"['P35244', 'P11388', 'P12004', 'P28340', 'P35251', 'P35249', 'Q9NR33', 'P15927', 'P35250', 'Q9NRF9', 'P27694', 'Q14181', 'P40937', 'P49005', 'P40938']"
315,"28S ribosomal subunit, mitochondrial",14,"['P51398', 'Q9Y676', 'P82664', 'P82932', 'P82673', 'Q92552', 'Q9Y3D5', 'P82921', 'P82933', 'Q9Y3D9', 'Q9NP92', 'P82912', 'Q9Y2R5', 'Q9Y2R9']"
192,PA28-20S proteasome,13,"['Q9UL46', 'P25787', 'P28070', 'P20618', 'P25786', 'P25788', 'P25789', 'P28072', 'P49721', 'Q06323', 'P60900', 'P28066', 'O14818']"
1098,"DNA synthesome complex, leukemia cells",13,"['P35244', 'P11388', 'P12004', 'P28340', 'P35251', 'P35249', 'P15927', 'P35250', 'P27694', 'Q14181', 'P40937', 'P49005', 'P40938']"
1108,"DNA synthesome complex, breast cancer cells",13,"['P12004', 'P18858', 'P28340', 'P35251', 'P35249', 'Q9NR33', 'P35250', 'Q9NRF9', 'Q14181', 'P40937', 'P09874', 'P49005', 'P40938']"
8674,Nuclear pore complex,12,"['P12270', 'P78406', 'P52948', 'Q8NFH5', 'P55735', 'P49790', 'Q9NRG9', 'Q8NFH4', 'P35658', 'P49792', 'Q7Z3B4', 'Q8WYP5']"
181,26S proteasome,12,"['P25787', 'P28070', 'P20618', 'P25786', 'P25788', 'P25789', 'P28072', 'P49721', 'P60900', 'P35998', 'P28066', 'O14818']"
5199,Kinase maturation complex 1,12,"['P61981', 'P31946', 'Q9NUG6', 'Q9UHV9', 'P34932', 'Q16543', 'P27348', 'P07900', 'P63104', 'Q04917', 'P62258', 'Q7KZI7']"
5233,TNFalpha-NFkappa B signaling complex 5,12,"['Q9UJF2', 'O14920', 'Q13576', 'Q13616', 'O15111', 'Q9Y6K9', 'Q00653', 'P52292', 'P19838', 'P62875', 'P63208', 'P42704']"
1005,"RC complex, G2/M-phase-specific",12,"['P35244', 'P06493', 'P28340', 'P35251', 'Q9NR33', 'P15927', 'P35250', 'Q9NRF9', 'P27694', 'Q14181', 'P09874', 'P49005']"
194,PA28gamma-20S proteasome,11,"['P25787', 'P28070', 'P20618', 'P25786', 'P25788', 'P25789', 'P28072', 'P49721', 'P60900', 'P28066', 'O14818']"
8850,20S proteasome,11,"['P25787', 'P28070', 'P20618', 'P25786', 'P25788', 'P25789', 'P28072', 'P49721', 'P60900', 'P28066', 'O14818']"
5266,TNF-alpha/NF-kappa B signaling complex 6,11,"['Q02878', 'P62917', 'P36578', 'O14920', 'P62277', 'O15111', 'Q9Y6K9', 'P62280', 'Q16543', 'P62888', 'P07900']"
1097,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)",11,"['O15371', 'Q14152', 'Q13347', 'O15372', 'O75821', 'O75822', 'P60228', 'Q9UBQ5', 'Q99613', 'Q9Y262', 'Q7L2H7']"
5613,Emerin complex 25,11,"['P31946', 'O95218', 'Q13283', 'P20700', 'Q9P287', 'P61978', 'P62314', 'Q16543', 'O95777', 'P62258', 'Q9Y333']"
5615,Emerin complex 52,11,"['P46940', 'Q07021', 'O00148', 'P20700', 'P61978', 'P62314', 'P27348', 'O95777', 'Q13287', 'P62258', 'P51858']"
430,18S U11/U12 snRNP,10,"['O43143', 'P62304', 'P62318', 'P62306', 'P62314', 'Q13435', 'Q9Y3B4', 'Q15427', 'P67809', 'P62316']"
1335,SNW1 complex,10,"['Q9UG63', 'Q13573', 'P17858', 'Q9BUQ8', 'P23246', 'O95071', 'P68104', 'P07437', 'P26641', 'P43246']"
2825,BRCA1-RNA polymerase II complex,10,"['P62487', 'P29084', 'P35269', 'P19387', 'Q13503', 'Q00403', 'P62875', 'P30876', 'P32780', 'P24928']"
6671,PI4K2A-WASH complex,10,"['P50570', 'Q92888', 'Q12768', 'Q641Q2', 'Q5T1M5', 'O00203', 'P47756', 'Q2M389', 'Q9BTU6', 'P52907']"
742,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)",10,"['O15371', 'Q14152', 'Q13347', 'O15372', 'O75821', 'O75822', 'P60228', 'Q9UBQ5', 'Q99613', 'Q9Y262']"
2920,"Respiratory chain complex I (lambda subunit), mitochondrial",10,"['O00217', 'O75251', 'O95182', 'P19404', 'P28331', 'O43678', 'O43181', 'P49821', 'P56181', 'Q16718']"
8171,STRIPAK complex,9,"['Q9P2B4', 'Q13033', 'Q9Y3A3', 'Q9P289', 'P30153', 'Q08379', 'Q5VSL9', 'Q9NRL3', 'Q9BUL8']"
103,RNA polymerase II holoenzyme complex,9,"['P62487', 'P29084', 'P35269', 'P19387', 'Q00403', 'P62875', 'P30876', 'P32780', 'P24928']"
5232,TNFalpha-NFkappa B signaling complex,9,"['Q02878', 'P62277', 'Q92896', 'O15111', 'Q9Y6K9', 'Q00653', 'P62888', 'P19838', 'O00571']"
5177,Polycystin-1 multiprotein complex,9,"['P14923', 'Q9Y490', 'P56945', 'P12931', 'P49023', 'P12814', 'P18206', 'Q05397', 'P35222']"
1223,"H2AX complex, without IR exposure",9,"['P16104', 'Q8N257', 'P62805', 'O43390', 'Q9Y5B9', 'P11940', 'Q08945', 'P06748', 'Q9Y262']"
1141,CF IIAm complex (Cleavage factor IIAm complex),9,"['O94913', 'Q07157', 'P26599', 'P23246', 'O43809', 'Q16630', 'P49959', 'P26368', 'Q8N684']"
929,CEN complex,9,"['Q13185', 'Q9H0H5', 'Q02241', 'Q15007', 'Q13619', 'Q96JP5', 'Q9Y5B9', 'P11142', 'Q08945']"
8561,"TNFR1 signaling complex, TNF-induced",9,"['O14920', 'Q9UHD2', 'O15111', 'Q9Y6K9', 'Q13546', 'Q15628', 'O43318', 'Q9NYJ8', 'O43464']"
1107,DNA synthesome core complex,9,"['P12004', 'P28340', 'P35251', 'P35249', 'P35250', 'Q14181', 'P40937', 'P49005', 'P40938']"
1332,Large Drosha complex,8,"['O43143', 'Q96SB4', 'Q13148', 'P17844', 'Q92499', 'P35637', 'O00571', 'Q01844']"
778,LARC complex (LCR-associated remodeling complex),8,"['P07910', 'Q9UBB5', 'O94776', 'O95983', 'O14497', 'Q8WXI9', 'Q969G3', 'Q92785']"
6888,v-ATPase-Ragulator-AXIN/LKB1-AMPK complex,8,"['P21281', 'Q9Y478', 'P61421', 'Q13131', 'Q6IAA8', 'P38606', 'Q9UHA4', 'P54619']"
126,CCT complex (chaperonin containing TCP1 complex),8,"['P49368', 'P40227', 'P17987', 'P48643', 'P50990', 'P78371', 'Q99832', 'P50991']"
5611,Emerin complex 24,8,"['P33991', 'Q07021', 'P02545', 'P06400', 'P20700', 'Q14566', 'P49736', 'Q13287']"
32,PA700 complex,8,"['P51665', 'Q16401', 'O00233', 'O00231', 'O75832', 'P35998', 'Q13200', 'Q99460']"
5614,Emerin complex 32,8,"['Q13263', 'P20700', 'Q13813', 'Q13287', 'O00422', 'Q9UKL0', 'Q9BZK7', 'Q9C005']"
1068,12S U11 snRNP,8,"['P62304', 'P62318', 'Q96GM8', 'Q16629', 'P62306', 'P62314', 'P67809', 'P62316']"
563,"F1F0-ATPase, mitochondrial",7,"['P00846', 'P24539', 'P36542', 'P06576', 'P25705', 'P56134', 'O75947']"
7814,CDYL-CAF1-MCM complex,7,"['P33992', 'P33991', 'P25205', 'P33993', 'Q13112', 'Q14566', 'P49736']"
2685,RNA polymerase II (RNAPII),7,"['P62487', 'P35269', 'P19387', 'Q00403', 'P62875', 'P30876', 'P24928']"
282,SNF2h-cohesin-NuRD complex,7,"['Q8WVM7', 'O60216', 'Q9UBB5', 'O94776', 'O95983', 'Q8N3U4', 'Q14683']"
728,CSA-POLIIa complex,7,"['Q99627', 'Q13619', 'Q9UNS2', 'Q7L5N1', 'Q9BT78', 'P61201', 'P24928']"
1728,CTCF-PARP1-HIS-KPNA-LMNA-TOP complex,7,"['P52294', 'O00505', 'P02545', 'P11388', 'P09874', 'P49711', 'P06748']"
159,Condensin I-PARP-1-XRCC1 complex,7,"['Q9BPX3', 'Q15003', 'Q15021', 'Q9NTJ3', 'O95347', 'P18887', 'P09874']"
6344,"TNFR1 signaling complex, native",7,"['O14920', 'O15111', 'Q9Y6K9', 'Q13546', 'Q15628', 'O43318', 'Q9NYJ8']"
1143,SMN complex (16 subunits),7,"['P62304', 'P62318', 'P62306', 'P62314', 'Q8TEQ6', 'P62316', 'Q9Y3F4']"
1745,SMN complex,7,"['P62304', 'P62318', 'P62306', 'P62314', 'Q8TEQ6', 'P09012', 'P62316']"
3064,"RNA polymerase II complex, chromatin structure modifying",7,"['Q14919', 'P35269', 'Q13503', 'P51531', 'Q00403', 'P32780', 'P24928']"
1257,ALL-1 supercomplex,7,"['O60341', 'P61964', 'O94776', 'O95983', 'P51531', 'O00422', 'P62826']"
2948,"Respiratory chain complex I (incomplete intermediate), mitochondrial",7,"['O75251', 'P19404', 'P28331', 'Q16795', 'O43181', 'P49821', 'P56181']"
1003,RC sub-complex,7,"['P35251', 'P35249', 'P24941', 'P35250', 'Q14181', 'P40937', 'P40938']"
5209,Ubiquilin-proteasome complex,6,"['P25787', 'Q05086', 'Q9UMX0', 'Q9UHD9', 'P25786', 'P60900']"
387,MCM complex,6,"['P33992', 'P33991', 'P25205', 'P33993', 'Q14566', 'P49736']"
6194,B-WICH complex,6,"['P35659', 'Q9NR30', 'O00159', 'Q03468', 'Q9UIG0', 'Q9BQG0']"
6302,B-WICH complex,6,"['P35659', 'Q9NR30', 'O00159', 'Q03468', 'Q9UIG0', 'Q9BQG0']"
1768,CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L complex,6,"['Q14157', 'O43809', 'Q16630', 'Q96J02', 'Q01844', 'P24928']"
6639,"CCC-Wash (WASH1, FAM21C) complex",6,"['Q9UBI1', 'Q7Z4G1', 'Q9Y6G5', 'Q9P000', 'Q7Z3J2', 'Q9H0A8']"
6645,CCC complex,6,"['Q9UBI1', 'Q7Z4G1', 'Q9Y6G5', 'Q9P000', 'Q7Z3J2', 'Q9H0A8']"
1226,"H2AX complex I, IR-induced",6,"['P16104', 'Q8N257', 'P62805', 'P16989', 'P09874', 'P06748']"
1227,H2AX complex II,6,"['P16104', 'Q96EY7', 'Q8N257', 'P62805', 'P16989', 'P06748']"
6131,SELK multiprotein complex,6,"['P46977', 'P04844', 'P39656', 'P27824', 'P04843', 'P55072']"
6247,BBS-chaperonin complex,6,"['P49368', 'P17987', 'P48643', 'P50990', 'P78371', 'P50991']"
5386,MLL1-WDR5 complex,6,"['Q9H4L4', 'Q9Y4W2', 'Q8WWY3', 'P34932', 'P61964', 'P51610']"
6838,IGF2BP1 complex,6,"['Q15717', 'O95793', 'P62753', 'O60506', 'P67809', 'P61254']"
1155,Integrator-RNAPII complex,6,"['Q68E01', 'Q9NVR2', 'Q75QN2', 'Q96HW7', 'P30876', 'P24928']"
7557,LGR4-RSPO supercomplex,6,"['P46940', 'P36507', 'Q02750', 'P49023', 'O00401', 'Q05397']"
6167,Exocyst complex,6,"['Q96A65', 'O60645', 'Q8IYI6', 'O00471', 'Q9UPT5', 'Q9NV70']"
6460,MLL2 complex,6,"['Q9Y5Z7', 'O75475', 'O15294', 'P61964', 'Q9C005', 'P51610']"
112,Prefoldin complex,6,"['O15212', 'O60925', 'P61758', 'Q99471', 'Q9NQP4', 'Q9UHV9']"
5230,NFKB1 signalling complex,6,"['O60271', 'O15111', 'Q9Y6K9', 'Q00653', 'P19838', 'P35606']"
5286,TNF-alpha/NF-kappa B signaling complex 10,6,"['P40222', 'Q9UHD2', 'O15111', 'Q9Y6K9', 'Q16543', 'P07900']"
726,DDB2 complex,6,"['Q99627', 'Q13619', 'Q9UNS2', 'Q7L5N1', 'Q9BT78', 'P61201']"
727,CSA complex,6,"['Q99627', 'Q13619', 'Q9UNS2', 'Q7L5N1', 'Q9BT78', 'P61201']"
27,Arp2/3 protein complex,6,"['P61158', 'O15144', 'O15511', 'O15145', 'P61160', 'O15143']"
7627,H2A.Z histone-exchange complex p400/TIP60,6,"['Q9BTT0', 'P62805', 'Q9NPF5', 'Q9Y230', 'Q9NV56', 'Q15014']"
2203,BRD4-RFC complex,6,"['O60885', 'P35251', 'P35249', 'P35250', 'P40937', 'P40938']"
7938,CDC5L-PRP19 complex,6,"['Q8WYA6', 'O43660', 'O75934', 'P11142', 'Q9UMS4', 'Q9P013']"
835,6S methyltransferase and RG-containing Sm proteins complex,6,"['P62304', 'P62318', 'P62306', 'P62314', 'P54105', 'P62316']"
5196,"TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)",6,"['Q13616', 'O15111', 'Q00653', 'Q9UPN7', 'P63208', 'O00743']"
2721,HCF-1 complex,6,"['O15294', 'P34932', 'P61964', 'P07900', 'P11142', 'P51610']"
777,Exon junction complex,6,"['Q9Y5S9', 'Q86V81', 'Q9UBU9', 'Q8IYB3', 'Q9BZI7', 'Q15287']"
186,WAVE2 complex,5,"['Q8WUW1', 'Q7L576', 'Q9Y6W5', 'Q9Y2A7', 'Q8IZP0']"
3040,Multisynthetase complex,5,"['Q9P2J5', 'Q15046', 'P41252', 'P07814', 'P54136']"
5449,"Splicing-associated factors complex (ALYREF, DEK, RBM8A, RNPS1, SRRM1)",5,"['P35659', 'Q9Y5S9', 'Q86V81', 'Q8IYB3', 'Q15287']"
104,RNA polymerase II core complex,5,"['P62487', 'P19387', 'P62875', 'P30876', 'P24928']"
2686,BRCA1-core RNA polymerase II complex,5,"['P62487', 'P19387', 'P62875', 'P30876', 'P24928']"
5268,TNF-alpha/NF-kappa B signaling complex 7,5,"['Q13451', 'Q16543', 'O43318', 'P07900', 'Q9NYJ8']"
1767,CPSF6-ITCH-NUDT21-POLR2A-UBAP2L complex,5,"['Q14157', 'O43809', 'Q16630', 'Q96J02', 'P24928']"
6665,"ATAC complex, YEATS2-linked",5,"['Q14157', 'P61964', 'Q9NR33', 'O43318', 'Q9NRF9']"
7285,HEXIM1-DNA-PK-paraspeckle components-ribonucleoprotein complex,5,"['Q96PK6', 'Q8WXF1', 'P23246', 'Q15233', 'O94992']"
1737,SF3b complex,5,"['Q86XP3', 'Q13435', 'Q7RTV0', 'Q9Y3B4', 'Q15427']"
1060,"Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)",5,"['Q4G0F5', 'O60749', 'Q96QK1', 'Q9UBQ0', 'Q13596']"
924,Toposome,5,"['P07910', 'Q96SB4', 'Q9NR30', 'P11388', 'Q08945']"
657,"Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)",5,"['O75436', 'O60749', 'Q96QK1', 'Q9UBQ0', 'Q13596']"
1182,CDC5L core complex,5,"['Q92616', 'O43660', 'O75934', 'P11142', 'Q9UMS4']"
1199,Oligosaccharyltransferase complex (Stt3A variant),5,"['P46977', 'P04844', 'P39656', 'Q9H0U3', 'P04843']"
6236,"Dynein-2 complex, cytoplasmic",5,"['P63167', 'Q8IVD9', 'P63172', 'P51808', 'Q9NP97']"
1200,Oligosaccharyltransferase complex (Stt3B variant),5,"['P04844', 'P39656', 'Q8TCJ2', 'Q9H0U3', 'P04843']"
5194,"TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)",5,"['O15027', 'O14920', 'O15111', 'Q9Y6K9', 'Q00653']"
6779,SCRIB-GIT1-ARHGEF7-PAK2 complex,5,"['Q13153', 'Q13177', 'Q14155', 'Q9Y2X7', 'Q14160']"
6469,Set1A complex,5,"['Q9Y5Z7', 'O15294', 'P61964', 'Q9C005', 'P51610']"
6470,Set1B complex,5,"['Q9Y5Z7', 'O15294', 'P61964', 'Q9C005', 'P51610']"
2914,"Respiratory chain complex I (beta subunit), mitochondrial",5,"['Q9Y6M9', 'O75438', 'O00483', 'O95168', 'O96000']"
7299,ANP32A-ANP32B-PSMA3-PTMA-SLC25A5 complex,5,"['P06454', 'P05141', 'P25788', 'Q92688', 'P39687']"
1746,SMN containing complex,5,"['P09382', 'P62318', 'P17931', 'P62314', 'P62316']"
6484,WASH-CAPZalpa/beta complex,5,"['Q12768', 'Q9Y3C0', 'P47756', 'Q2M389', 'P52907']"
2174,COP9 signalosome complex,5,"['Q99627', 'Q9UNS2', 'Q7L5N1', 'Q9BT78', 'P61201']"
2179,CNS-P53 complex,5,"['Q99627', 'Q9UNS2', 'Q7L5N1', 'Q9BT78', 'P61201']"
652,AP3-BLOC1 complex,5,"['O00203', 'Q92572', 'Q9Y2T2', 'P78537', 'O14617']"
310,Cell cycle kinase complex CDC2,5,"['P38936', 'P06493', 'O95067', 'P12004', 'P24385']"
10,Condensin I complex,5,"['Q9BPX3', 'Q15003', 'Q15021', 'Q9NTJ3', 'O95347']"
846,"RICH1/AMOT polarity complex, Flag-Rich1 precipitated",5,"['Q68EM7', 'P47756', 'Q9Y5K6', 'Q96B97', 'P52907']"
3137,MASH1 promoter-coactivator complex,5,"['P62805', 'P12931', 'Q15233', 'P09874', 'P24928']"
